"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"760148489179394048","","","2016-08-01 16:21:37 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @cowboycourtney: I'm Co-Chair of the #saa16 Host Committee. Feel free to @ me or DM with specific questions.","760102998236422148","114779832","2016-08-01 13:20:51 +0000",""
"760084794558582784","","","2016-08-01 12:08:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I second this! Went to a conf at same hotel in Jan and Peachtree Center had tons of cheap food options #saa16 https://t.co/ZFx4WNTBUk","","","","https://twitter.com/tzanish/status/759895968099762176"
"760077183985549312","","","2016-08-01 11:38:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Hey #saa16 goers: bring an umbrella, it likes to rain between 3-7 most days. Just went sessions are getting out!","","","",""
"759098408183488512","","","2016-07-29 18:48:58 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Walk-ins, groups, regulars... the reading room is running me ragged today","","","",""
"758764354477195264","","","2016-07-28 20:41:33 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TFW when donor wants to come to #saa16 to see what we're all about","","","",""
"758721622446661632","758720372179107840","15274817","2016-07-28 17:51:45 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@lemurchild Peachtree Center!","","","",""
"758684009740238848","","","2016-07-28 15:22:18 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @WebArch_RT: 2016 Web Archiving RT Meeting Agenda! https://t.co/F7miXHwyUt","758682993556803584","1148762064","2016-07-28 15:18:15 +0000","https://webarchivingrt.wordpress.com/2016/07/28/2016-web-archiving-rt-meeting-agenda,https://webarchivingrt.wordpress.com/2016/07/28/2016-web-archiving-rt-meeting-agenda"
"758338883725688836","758335767391244288","707840696","2016-07-27 16:30:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@landlibrarian it’s gunna be a two-thumbs-up kind of year!","","","",""
"757578976151871492","","","2016-07-25 14:11:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","OoOoOoO @AVPreserve A/V Archives Night is at the Sound Table :heart_eyes: #saa16","","","",""
"757573922669854720","757573646269444096","17315836","2016-07-25 13:51:12 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@archivesnext yesssss first to vote","","","",""
"756605139847376896","756604964626104320","168644732","2016-07-22 21:41:37 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@eiratansey ah gotcha. knew it was on tues but excited to see the run of show!","","","",""
"756601817119744000","756591507751264256","168644732","2016-07-22 21:28:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@eiratansey where’s that at?","","","",""
